dataset,model,seed,params,flops,best_epoch,wall_sec,run_dir,val.n,val.acc,val.macro_f1,val.near_neutral_macro_f1,val.ece,val.mean_entropy,val.fnr,val.neutral_recall,val.neutral_f1,test.n,test.acc,test.macro_f1,test.near_neutral_macro_f1,test.ece,test.mean_entropy,test.fnr,test.neutral_recall,test.neutral_f1,ckplus.n,ckplus.acc,ckplus.macro_f1,ckplus.near_neutral_macro_f1,ckplus.ece,ckplus.mean_entropy,ckplus.fnr,ckplus.neutral_recall,ckplus.neutral_f1,val.nn_subset_n@0.2,val.nn_subset_acc@0.2,val.nn_subset_macro_f1@0.2,val.nn_subset_fnr@0.2,val.nn_subset_n@0.3,val.nn_subset_acc@0.3,val.nn_subset_macro_f1@0.3,val.nn_subset_fnr@0.3,val.nn_subset_n@0.4,val.nn_subset_acc@0.4,val.nn_subset_macro_f1@0.4,val.nn_subset_fnr@0.4,test.nn_subset_n@0.2,test.nn_subset_acc@0.2,test.nn_subset_macro_f1@0.2,test.nn_subset_fnr@0.2,test.nn_subset_n@0.3,test.nn_subset_acc@0.3,test.nn_subset_macro_f1@0.3,test.nn_subset_fnr@0.3,test.nn_subset_n@0.4,test.nn_subset_acc@0.4,test.nn_subset_macro_f1@0.4,test.nn_subset_fnr@0.4
rafdb,nnskd_mobilevit_xxs_kd,2,953271,135387584,40,1376.9971511363983,runs/rafdb/nnskd_mobilevit_xxs_kd/seed2,1228,0.8460912052117264,0.7386875645304364,0.6345873241172565,0.043957979276064416,0.6226093519435254,0.050256410256410255,0.8300395256916996,0.8203125,3068,0.8383311603650587,0.7588350748655001,0.6821356190623475,0.05656080244294978,0.6138281605676682,0.05443886097152429,0.7955882352941176,0.8008882309400445,927.0,0.6699029126213593,0.48779500610107673,0.3947990913786465,0.14986389634029348,0.6486613139658998,0.04854368932038835,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_kd,3,953271,135387584,44,1364.9305982589722,runs/rafdb/nnskd_mobilevit_xxs_kd/seed3,1228,0.8387622149837134,0.7629183331444217,0.690140551485915,0.05257569795752037,0.5999606021224048,0.06974358974358974,0.83399209486166,0.793233082706767,3068,0.855606258148631,0.7889830497488705,0.7291586779236912,0.0499841600820589,0.6001119739003498,0.06574539363484087,0.8676470588235294,0.8269096005606167,927.0,0.7367853290183387,0.5150517228549426,0.4396934773264561,0.1121278863816091,0.5883697426742234,0.02912621359223301,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_kd,4,953271,135387584,41,1379.7679624557495,runs/rafdb/nnskd_mobilevit_xxs_kd/seed4,1228,0.8501628664495114,0.7660928893126352,0.6802517993779282,0.054850025278398704,0.6387127301102974,0.06461538461538462,0.8893280632411067,0.8317929759704251,3068,0.8389830508474576,0.7521831501996769,0.6741555082655349,0.07285487087733578,0.6372390036910668,0.07328308207705192,0.8735294117647059,0.8198757763975155,927.0,0.7119741100323624,0.5303078188875329,0.4750861370654458,0.10526556641650732,0.6663915881902904,0.07119741100323625,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_nm,0,953271,135387584,37,1487.0305833816528,runs/rafdb/nnskd_mobilevit_xxs_nm/seed0,1228,0.8444625407166124,0.7413498768223948,0.6464720865489931,0.04753999418762728,0.63585261400471,0.04512820512820513,0.8023715415019763,0.812,3068,0.848761408083442,0.768783292491645,0.6943266890712485,0.06125570055832462,0.6371788889788051,0.042294807370184255,0.8088235294117647,0.8264462809917356,927.0,0.7259978425026968,0.5352275841995432,0.4702682253506959,0.08608117221271147,0.6721299801354073,0.043149946062567425,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_nm,1,953271,135387584,26,1488.4387221336365,runs/rafdb/nnskd_mobilevit_xxs_nm/seed1,1228,0.8379478827361564,0.7305078485447891,0.6303868136770029,0.045117198527180914,0.7144472270356933,0.052307692307692305,0.8300395256916996,0.8171206225680934,3068,0.8301825293350718,0.7267302200946906,0.6336554126410278,0.05167377296364496,0.7124797409075018,0.06155778894472362,0.8279411764705882,0.8100719424460432,927.0,0.6893203883495146,0.49350772913475943,0.41152790319667687,0.09950979494439159,0.7988735904749678,0.042071197411003236,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_nm,2,953271,135387584,35,1489.5592823028564,runs/rafdb/nnskd_mobilevit_xxs_nm/seed2,1228,0.8395765472312704,0.7337180284995706,0.6364784915454789,0.050046229307177975,0.6482685809070844,0.05128205128205128,0.7747035573122529,0.7855711422845691,3068,0.8340938722294654,0.7576184881032128,0.6846545892913233,0.06027202389590766,0.6507956333367222,0.05778894472361809,0.7867647058823529,0.7908351810790836,927.0,0.7206040992448759,0.5273007951746533,0.4527883963575642,0.09853360369124364,0.6736944668707787,0.06040992448759439,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_nm,3,953271,135387584,32,1479.0445568561554,runs/rafdb/nnskd_mobilevit_xxs_nm/seed3,1228,0.8363192182410424,0.7283121126446402,0.6156482590071343,0.04423791435523091,0.6750289513985646,0.036923076923076927,0.7905138339920948,0.8179959100204499,3068,0.8367014341590613,0.7491951492039224,0.6693431749717275,0.05246430330875983,0.6836112043381755,0.038107202680067,0.7867647058823529,0.8192955589586524,927.0,0.7022653721682848,0.4954540962564588,0.4175857448884526,0.11288573435841827,0.7471876506870407,0.08629989212513485,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_nm,4,953271,135387584,52,1492.7550837993622,runs/rafdb/nnskd_mobilevit_xxs_nm/seed4,1228,0.8420195439739414,0.7491438386604601,0.6645492429585743,0.05539634326333292,0.6031400519042287,0.04205128205128205,0.7470355731225297,0.782608695652174,3068,0.8412646675358539,0.7633510905555712,0.6915745505965021,0.07069923521620065,0.6044216848833499,0.04020100502512563,0.7470588235294118,0.7912772585669782,927.0,0.7292340884573895,0.5384108825184705,0.4788919407718499,0.11441626866199917,0.6125295255684251,0.039913700107874865,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_tinf,0,953271,146460100,49,1447.801514863968,runs/rafdb/nnskd_mobilevit_xxs_tinf/seed0,1228,0.8363192182410424,0.741929881029904,0.6458846256937198,0.07160381761504142,0.6061667690361264,0.05128205128205128,0.8063241106719368,0.8047337278106509,3068,0.8516949152542372,0.7804597076061304,0.713768689285462,0.04823951719306489,0.6014455335050903,0.048994974874371856,0.8220588235294117,0.8244837758112095,927.0,0.7432578209277239,0.545693469315726,0.4867222625090645,0.09193046313245597,0.63227442019976,0.03559870550161812,,,,,,,,,,,,,,,,,,,,,,,,,,
rafdb,nnskd_mobilevit_xxs_tinf,1,953271,146460100,56,1465.8536639213562,runs/rafdb/nnskd_mobilevit_xxs_tinf/seed1,1228,0.8387622149837134,0.7465149926640499,0.657494205496435,0.05262968359047276,0.5893116355820969,0.052307692307692305,0.7905138339920948,0.7936507936507936,3068,0.8503911342894394,0.7755144986025301,0.7038187510056048,0.051582357962682096,0.5856117881090317,0.04103852596314908,0.7911764705882353,0.817629179331307,927.0,0.703344120819849,0.5197825399815972,0.44269174096143943,0.1475638947253366,0.5847292237727837,0.05825242718446602,,,,,,,,,,,,,,,,,,,,,,,,,,
